 gray  |______SLM1_________|______SLM2_______|
_level_|__T1___|__ph1______|__T2___|__ph2____|

1		0.9798	0.0049		0.9325	0.0000
2		0.9779	0.0173		0.9319	0.0374
3		0.9759	0.0294		0.9309	0.0716
4		0.9740	0.0409		0.9292	0.1005
5		0.9720	0.0516		0.9266	0.1233
6		0.9699	0.0615		0.9234	0.1411
7		0.9678	0.0708		0.9196	0.1551
8		0.9656	0.0796		0.9157	0.1666
9		0.9633	0.0881		0.9117	0.1762
10		0.9609	0.0968		0.9079	0.1847
11		0.9583	0.1058		0.9042	0.1919
12		0.9556	0.1153		0.9006	0.1984
13		0.9527	0.1254		0.8971	0.2043
14		0.9497	0.1359		0.8938	0.2105
15		0.9466	0.1468		0.8904	0.2172
16		0.9433	0.1579		0.8869	0.2250
17		0.9400	0.1690		0.8834	0.2340
18		0.9365	0.1801		0.8796	0.2445
19		0.9330	0.1911		0.8756	0.2562
20		0.9294	0.2020		0.8714	0.2689
21		0.9257	0.2128		0.8671	0.2819
22		0.9219	0.2235		0.8626	0.2951
23		0.9181	0.2344		0.8581	0.3078
24		0.9142	0.2454		0.8537	0.3202
25		0.9103	0.2567		0.8493	0.3320
26		0.9062	0.2683		0.8449	0.3437
27		0.9021	0.2803		0.8406	0.3553
28		0.8979	0.2927		0.8363	0.3674
29		0.8935	0.3053		0.8320	0.3799
30		0.8891	0.3182		0.8275	0.3928
31		0.8845	0.3313		0.8227	0.4059
32		0.8798	0.3445		0.8174	0.4192
33		0.8750	0.3579		0.8116	0.4325
34		0.8700	0.3715		0.8054	0.4461
35		0.8649	0.3854		0.7989	0.4601
36		0.8597	0.3996		0.7921	0.4746
37		0.8543	0.4143		0.7852	0.4898
38		0.8487	0.4294		0.7783	0.5058
39		0.8430	0.4451		0.7714	0.5224
40		0.8371	0.4613		0.7645	0.5393
41		0.8310	0.4781		0.7578	0.5562
42		0.8247	0.4955		0.7510	0.5725
43		0.8182	0.5136		0.7442	0.5879
44		0.8115	0.5322		0.7373	0.6025
45		0.8046	0.5514		0.7302	0.6165
46		0.7976	0.5713		0.7230	0.6304
47		0.7903	0.5918		0.7155	0.6445
48		0.7828	0.6129		0.7079	0.6596
49		0.7752	0.6348		0.7001	0.6759
50		0.7673	0.6573		0.6920	0.6943
51		0.7593	0.6806		0.6837	0.7147
52		0.7510	0.7047		0.6752	0.7375
53		0.7426	0.7297		0.6665	0.7619
54		0.7339	0.7555		0.6577	0.7877
55		0.7251	0.7822		0.6487	0.8139
56		0.7161	0.8099		0.6396	0.8403
57		0.7068	0.8385		0.6304	0.8664
58		0.6973	0.8681		0.6210	0.8924
59		0.6877	0.8986		0.6116	0.9183
60		0.6778	0.9301		0.6020	0.9444
61		0.6677	0.9624		0.5923	0.9705
62		0.6573	0.9958		0.5825	0.9969
63		0.6468	1.0303		0.5726	1.0233
64		0.6361	1.0660		0.5628	1.0502
65		0.6253	1.1029		0.5529	1.0774
66		0.6143	1.1411		0.5431	1.1055
67		0.6032	1.1807		0.5332	1.1345
68		0.5920	1.2217		0.5233	1.1648
69		0.5807	1.2640		0.5132	1.1962
70		0.5695	1.3078		0.5031	1.2290
71		0.5583	1.3531		0.4927	1.2630
72		0.5471	1.4001		0.4823	1.2982
73		0.5360	1.4489		0.4718	1.3344
74		0.5250	1.5000		0.4614	1.3715
75		0.5142	1.5537		0.4513	1.4091
76		0.5036	1.6104		0.4414	1.4477
77		0.4933	1.6703		0.4320	1.4875
78		0.4832	1.7333		0.4229	1.5297
79		0.4735	1.7991		0.4141	1.5749
80		0.4643	1.8673		0.4057	1.6236
81		0.4556	1.9374		0.3975	1.6757
82		0.4474	2.0090		0.3896	1.7310
83		0.4399	2.0823		0.3821	1.7892
84		0.4331	2.1571		0.3751	1.8500
85		0.4271	2.2338		0.3687	1.9132
86		0.4219	2.3123		0.3628	1.9789
87		0.4177	2.3925		0.3576	2.0468
88		0.4144	2.4741		0.3531	2.1169
89		0.4121	2.5569		0.3496	2.1893
90		0.4109	2.6405		0.3472	2.2637
91		0.4108	2.7245		0.3461	2.3403
92		0.4117	2.8088		0.3464	2.4189
93		0.4137	2.8930		0.3479	2.4993
94		0.4169	2.9766		0.3508	2.5819
95		0.4210	3.0591		0.3548	2.6658
96		0.4262	3.1400		0.3599	2.7514
97		0.4325	3.2190		0.3661	2.8367
98		0.4396	3.2957		0.3731	2.9224
99		0.4477	3.3700		0.3809	3.0066
100		0.4566	3.4419		0.3895	3.0913
101		0.4662	3.5116		0.3988	3.1757
102		0.4766	3.5792		0.4088	3.2621
103		0.4876	3.6447		0.4195	3.3488
104		0.4991	3.7086		0.4308	3.4365
105		0.5111	3.7707		0.4427	3.5213
106		0.5235	3.8313		0.4552	3.6032
107		0.5362	3.8902		0.4683	3.6784
108		0.5492	3.9475		0.4818	3.7487
109		0.5623	4.0028		0.4957	3.8121
110		0.5756	4.0559		0.5100	3.8718
111		0.5889	4.1067		0.5244	3.9274
112		0.6021	4.1549		0.5390	3.9822
113		0.6154	4.2006		0.5537	4.0363
114		0.6285	4.2440		0.5683	4.0921
115		0.6414	4.2853		0.5828	4.1491
116		0.6542	4.3248		0.5971	4.2079
117		0.6668	4.3629		0.6113	4.2665
118		0.6791	4.3998		0.6253	4.3235
119		0.6912	4.4357		0.6391	4.3763
120		0.7030	4.4709		0.6525	4.4239
121		0.7145	4.5053		0.6656	4.4657
122		0.7258	4.5391		0.6785	4.5037
123		0.7367	4.5722		0.6911	4.5393
124		0.7474	4.6046		0.7035	4.5751
125		0.7578	4.6361		0.7157	4.6115
126		0.7678	4.6666		0.7278	4.6490
127		0.7776	4.6960		0.7396	4.6861
128		0.7871	4.7241		0.7512	4.7226
